key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-169523458,Location-allocation models for traffic police patrol vehicles on an interurban network,2014,,,Annals of Operations Research,02545330 (ISSN),221,1,9-31,"Adler, N. and Hakkert, A.S. and Kornbluth, J. and Raviv, T. and Sher, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907682012&doi=10.1007%2fs10479-012-1275-2&partnerID=40&md5=c3250f7207746428d81de7dd669ffa9a,English,Kluwer Academic Publishers,"[""School of Business Administration, Hebrew University of Jerusalem, Mount Scopus, 91905, Israel"", ""Ran Naor Foundation for the Advancement of Road Safety, HodHasharon, Israel"", ""Department of Industrial Engineering, Tel Aviv University, Tel Aviv, 69978, Israel""]","This research investigates the traffic police routine patrol vehicle (RPV) assignment problem on an interurban road network through a series of integer linear programs. The traffic police RPV’s main task, like other emergency services, is to handle calls-for-service. Emergency services allocation models are generally based on the shortest path algorithm however, the traffic police RPV also handles other roles, namely patrolling to create a presence that acts as a deterrence, and issuing tickets to offenders. The RPVs need to be located dynamically on both hazardous sections and on roads with heavy traffic in order to increase their presence and conspicuousness, in an attempt to prevent or reduce traffic offences, road accidents and traffic congestion. Due to the importance of the traffic patrol vehicle’s location with regard to their additional roles, allocation of the RPVs adheres to an exogenous, legal, time-to-arrival constraint. We develop location-allocation models and apply them to a case study of the road network in northern Israel. The results of the four models are compared to each other and in relation to the current chosen locations. The multiple formulations provide alternatives that jointly account for road safety and policing objectives which aid decision-makers in the selection of their preferred RPV assignments. The results of the models present a location-allocation configuration per RPV per shift with full call-for-service coverage whilst maximizing police presence and conspicuousness as a proxy for road safety. © 2013, Springer Science+Business Media New York.","Cited By :19
Export Date: 10 May 2021
Correspondence Address: Sher, M.; School of Business Administration, Hebrew University of JerusalemIsrael | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Outros",,Allocation;Emergency services;Location;Network;Traffic police,,
rayyan-169523459,Prediction of road accidents: comparison of two Bayesian methods,2014,,,Structure and Infrastructure Engineering,15732479 (ISSN),10,11,1394-1416,"Deublein, M. and Schubert, M. and Adey, B.T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907287315&doi=10.1080%2f15732479.2013.821139&partnerID=40&md5=0b09a65eec95387d9135e582f9008466,English,Taylor and Francis Ltd.,"[""Institute of Construction and Infrastructure Management, Swiss Federal Institute of Technology, ETH Zurich, Zurich, Switzerland"", ""Matrisk GmbH, Zurich, Switzerland""]","In this paper, two Bayesian methods for the development of accident prediction models are compared: the well-acknowledged Empirical Bayes (EB) method and a recently developed method based on Bayesian Probabilistic Networks (BPNs). Brief descriptions of the two methods are provided and their commonalities, differences, advantages and disadvantages are discussed. Both methods can be used to develop models for the multivariate prediction of accident events and can be included in road infrastructure safety management systems such as road safety impact assessments or road safety audits. Using a comprehensive data-set taken from the Austrian rural motorway network, it is shown that the predictions of both models are in good accordance with the data. It is observed that the BPN models show a higher degree of correlation with the data than the models developed using the EB method, as measured through the higher values of the correlation coefficients (∼5–10%). © 2013, © 2013 Taylor & Francis.","Cited By :5
Export Date: 10 May 2021
Correspondence Address: Deublein, M.; Institute of Construction and Infrastructure Management, Swiss Federal Institute of Technology, ETH ZurichSwitzerland | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Highway | USER-NOTES: {""Fagner ""=>[""To demonstrate the differences between the two\ninvestigated methods, both methods were used to develop\naccident prediction models for sections of the Austrian\nrural motorway network that consisted of roads with\nmultiple lanes being physically separated based on the\ndriving direction.""]}",,Bayesian networks;Empirical Bayes;prediction models;road accidents;roads and highways;statistical analysis;Highway accidents;Statistical methods;Bayesian methods;Prediction model;Roads and highways;Bayes Theorem,,
rayyan-169523460,Development of accident prediction model under mixed traffic conditions: A case study,2013,,,Urban Public Transp. Syst. - Proc. Int. Conf. Urban Public Transp. Syst.,9780784413210 (ISBN),,,124-135,"Dhamaniya, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892721565&partnerID=40&md5=b34066dc40bb1288c846c795a2aee710,English,,"Civil Engineering Department, Indian Institute of Technology (IIT) Roorkee, P.O. Box 247667, Roorkee, India",Accident prediction models are developed under mixed traffic conditions. Two models have been developed. The first model is a city based traffic accident prediction model. City population and vehicle ownership are the two parameters used to develop the model. A case study of Surat city in Gujarat is taken up. Total accident occurred in the city are regressed with population and vehicle ownership. Second model is the urban arterial based accident prediction model. Past accident record of ring road of Surat city shows that there are eight different locations on a ten kilometer stretch of ring road where the accidents took place consistently. These locations are picked up as accident spots. As there are many contributing factors and causes to road accidents. A comprehensive study of road safety found that human error was the sole cause in 57% of all accidents and was a contributing factor in over 90%. Keeping this in view a new term driver-pedestrian index is used to develop this model. Regression function of Microsoft excel is used for model development. Both the models are checked with R-statistics and t-statistics further the models are validated by using statistical goodness of fit (chi square test). Hence these models can be used to predict number of accidents in future subjected to the same geometric standards. Keeping this in mind improvement measures can be taken up by the district authorities.,"Cited By :2
Export Date: 10 May 2021
Correspondence Address: Dhamaniya, A.; Civil Engineering Department, P.O. Box 247667, Roorkee, India; email: adiyadce@iitr.ernet.in | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Uma Unica Via | USER-NOTES: {""Fagner ""=>[""Muito interessante""]}",,Accidents;Driverpedestrian index;Population and vehicle ownership;Regression;Traffic;Accident prediction model;Contributing factor;Geometric standards;Improvement measure;Regression function;Vehicle ownership;Highway accidents;Motor transportation;Roads and streets;Telecommunication traffic;Traffic control,,
rayyan-169523461,Study on driver stress response ability on rural roads in China,2013,,,"ICTIS: Improv. Multimodal Transp. Syst. - Inf., Saf., Integr. - Proc. Int. Conf. Transp. Inf. Saf.",9780784413036 (ISBN),,,1289-1297,"Bian, H. and Wang, L. and Zhao, W. and Liu, H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887364640&partnerID=40&md5=6055876d12d76b23f38a38c3e72037a8,English,,"[""Zhejiang Institute of Communications, School of Transport Management, Hangzhou, Zhejiang, China"", ""Changan University, School of Automobile, Xi'an, Shaanxi, China""]","Based on the theory of driving stress training and impetus customization, a driver stress training system was designed to reduce traffic accidents because of drivers' lack of stress response ability when driving on the rural road. According to the characters of traffic accidents on rural roads, stress scenes were developed. In the experiment, 30 subjects were selected to attend typical conditions for the virtual simulation rural road driving experiment on the system platform. Heart rate was detected by MP150 simultaneously to indicate any variation of stress response ability. Experimental data was analysed using logarithmic regression and relativity analysis. The model between the stress level of this stress system and the training times was established, and the matching training standard was put forward. The results showed that stress response ability was strengthened with the addition of training times. Trained on different stress driving scenes under urban road condition according to the established training standards, driver was relaxed and response ability was promoted. Demands of stress response were satisfied by the training system and standards established. Stress response ability of drivers can be promoted and these types of traffic accidents can be reduced efficiently. © 2013 American Society of Civil Engineers.","Export Date: 10 May 2021
Correspondence Address: Zhejiang Institute of Communications, , Hangzhou, Zhejiang, China | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Comportamental",,Driving stress;Relativity-analysis;Response ability;Stress response;Stress training;System platforms;Training Systems;Virtual simulations;Experiments;Multimodal transportation;Rural roads;Security of data;China,,
rayyan-169523462,Application of Adaptive Neuro-fuzzy Inference System for road accident prediction,2013,,,KSCE Journal of Civil Engineering,12267988 (ISSN),17,7,1761-1772,"Hosseinpour, M. and Yahaya, A.S. and Ghadiri, S.M. and Prasetijo, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886299253&doi=10.1007%2fs12205-013-0036-3&partnerID=40&md5=2f890007660906c2c1d8a0a815d998e3,English,,"[""School of Civil Engineering, Universiti Sains Malaysia, 14300 Nibong Tebal, Pulau Penang, Malaysia"", ""Dept. of Transportation Engineering, Malaysia University of Science and Technology, 47301 Petaling Jaya, Kuala Lumpur, Malaysia""]","Since the last two decades, several modeling approaches have been developed in road safety literature to establish the relationship between traffic accidents and road characteristics. However, to the best of the authors' knowledge, no extensive research work has been published on application of Adaptive Neuro-fuzzy Inference System (ANFIS) on road accident modelling. Therefore, the present paper aims to develop an ANFIS technique for modelling traffic accidents as a function of road and roadside characteristics. To achieve the objective, accident data and road characteristics were collected over a two-year period along the Qazvin-Loshan intercity roadway in Iran. The candidate set of explanatory variables included the Mean Horizontal Curvature (MHC), Shoulder Width (SW), Road Width (RW), Land Use (LU), Access Points (AP), Longitudinal Grade (LG), and Horizontal Curve Density (HCD). The results showed that RW, SW, LU, and AP significantly affected accident frequencies. Using statistical performance indices, the ANFIS model was compared with the Poisson, negative binomial, and non-linear exponential regression models. Based on the comparative results, the proposed model had higher prediction performance than the other three traditional models which has been widely used in the literature. To conclude, the proposed model could be used as a robust approach to handle uncertainty and complexity existed in accident data. In general, ANFIS model can be an effective tool for transportation agencies since intervention decisions and plans aiming at improving road safety depend on the prediction capabilities of a system. © 2013 Korean Society of Civil Engineers and Springer-Verlag Berlin Heidelberg.","Cited By :14
Export Date: 10 May 2021
Correspondence Address: Hosseinpour, M.; School of Civil Engineering, , 14300 Nibong Tebal, Pulau Penang, Malaysia; email: h_mehdi61@yahoo.com | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded"", ""taniabatistela""=>""Excluded""} | RAYYAN-LABELS: Fuzzy | RAYYAN-EXCLUSION-REASONS: Highway",,accident prediction models;ANFIS;best subsets;comparative measures;Accident prediction model;Adaptive neuro-fuzzy inference system;Prediction performance;Statistical performance;Transportation agencies;Uncertainty and complexity;Accident prevention;Forecasting;Fuzzy systems;Highway accidents;Motor transportation;Regression analysis;Tracking (position);Shoulders (road),,
rayyan-169523463,An efficient propagation method for emergency messages in urban VANETs,2013,,,Lect. Notes Comput. Sci.,03029743 (ISSN); 9783642403156 (ISBN),8121,,397-406,"Lee, K. and Cho, K. and Kim, J. and Baek, Y. and Yun, J. and Seong, G. and Han, K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885717528&doi=10.1007%2f978-3-642-40316-3_35&partnerID=40&md5=9d74cead721cfcf0c4b08c43d957ac08,English,,"[""Graduate School, Department of Mobile Telecommunications Engineering, Kyungpook National University, 1370, Sankyuk-dong, Buk-gu, Daegu, 702-701, South Korea"", ""Graduate School of Computer Science and Engineering, Kyungpook National University, 1370, Sankyuk-dong, Buk-gu, Daegu, Daegu, 702-701, South Korea"", ""School of Computer Science and Engineering, Kyungpook National University, 1370, Sankyuk-dong, Buk-gu, Daegu, 702-701, South Korea""]","If an accident vehicle propagates emergency messages to other vehicles close to it, the other drivers may realize and avoid the accident spot. In this letter, we propose a broadcast scheme to propagate emergency messages fast in urban VANETs (Vehicular Ad-Hoc Networks) with the help of GPS (Global Position System). In our scheme, a transmitting vehicle chooses the farthest node as the next relay vehicle to propagate emergency messages. And, we suggest an algorithm for intersection recognition and SCF (Store-Carry-Forward) task by taking advantage of periodic hello packets to reduce the propagation time and enhance the delivery ratio. © 2013 Springer-Verlag.","Cited By :2
Export Date: 10 May 2021
Correspondence Address: Graduate School, 1370, Sankyuk-dong, Buk-gu, Daegu, 702-701, South Korea | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Outros",,broadcast storm problems;emergency message;intersection algorithm;VANETs;Broadcast scheme;Broadcast storm problem;Emergency messages;Global position systems;Intersection algorithms;Propagation method;Store carry forwards;Algorithms;Internet;Vehicles;Vehicular ad hoc networks;Accidents;Emergencies,,
rayyan-169523464,The effect of traffic calming on pedestrian injuries and motor vehicle collisions in two areas of the eThekwini Municipality: A before-and-after study,2013,,,South African Medical Journal,02569574 (ISSN),103,9,621-625,"Nadesan-Reddy, N. and Knight, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883139993&doi=10.7196%2fSAMJ.7024&partnerID=40&md5=483b005fe3fbdcef2ba41eeb1739f9de,English,,"School of Nursing and Public Health, University of KwaZulu-Natal, Durban, South Africa","Background. Motor vehicle collisions and pedestrian injuries in areas where schools are located are public health problems in Durban. Objective. To evaluate the effect of traffic calming humps on the number and severity of incidences of collisions and injuries in the Chatsworth and KwaMashu residential areas of the eThekwini Municipality. Methods. The evaluation used an observational interrupted time-series study design, with data obtained from the eThekwini Traffic Authority for roads constituting the routes to 34 schools for 2 years prior to and following the implementation of road humps (excluding the intervening year of implementation). A non-probability convenience sample of 19 schools with 39 roads in Chatsworth and 15 schools with 24 roads in KwaMashu was selected. Results. The traffic calming humps improved safety in both areas with respect to the severity of collisions. Serious pedestrian-vehicle collisions (PVCs) dropped by 23% and 22%, while fatal collisions decreased by 68% and 50% in Chatsworth and KwaMashu, respectively. The median annual PVC rate/km of road/year decreased from 1.41 to 0.96 (p=0.007) and from 2.35 to 1.40 (p<0.001) in Chatsworth and KwaMashu, respectively. There was a 1.6% reduction in the median number of fatal or serious PVCs after implementation in Chatsworth (p=0.03) while in KwaMashu, although the number of collisions decreased, the median number increased by 9% (p=0.07). Conclusions. Traffic calming has been shown to be effective in reducing the number of PVCs but needs to be supported by additional measures to further improve the safety of pedestrians.","Cited By :12
Export Date: 10 May 2021
CODEN: SAMJA
Correspondence Address: Nadesan-Reddy, N.; School of Nursing and Public Health, , Durban, South Africa; email: justinisha@hotmail.com | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Específico",,"adult;age;article;death;disease severity;education;female;human;injury;male;motor vehicle;observational study;pedestrian;traffic accident;traffic safety;Accident Prevention;Accidents, Traffic;Adult;Architectural Accessibility;Child;Epidemiologic Research Design;Facility Regulation and Control;Female;Humans;Male;Motor Vehicles;Outcome Assessment (Health Care);Population;Schools;South Africa;Survival Analysis;Trauma Severity Indices;Wounds and Injuries",,
rayyan-169523465,The identification of traffic crash hot zones under the link-attribute and event-based approaches in a network-constrained environment,2013,,,"Computers, Environment and Urban Systems",01989715 (ISSN),41,,249-261,"Loo, B.P.Y. and Yao, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881532423&doi=10.1016%2fj.compenvurbsys.2013.07.001&partnerID=40&md5=40f3a98618d75c0eb552e2386fa46084,English,,"Department of Geography, University of Hong Kong, Pokfulam, Hong Kong","In the spatial analysis of road traffic crashes, a hot zone methodology explicitly uses the network contiguity of more than one road segment as a criterion in identifying crash clusters. In this paper, 603 simulated patterns of traffic crashes in three simplified hypothetical networks and the empirical crash pattern in Hong Kong from 2008 to 2010 (with a total of 30,490 traffic crashes on 1090. km of roads) are analyzed using the link-attribute approach and the network-constrained event-based approach. Procedures for identifying hot zones using statistical thresholds are developed. This paper represents the first systematic comparison of hot zone results using these two different approaches. The results suggest that the link-attribute approach and network-constrained event-based approach are usually consistent but there are major differences between the two approaches. © 2013 Elsevier Ltd.","Cited By :26
Export Date: 10 May 2021
CODEN: CEUSD
Correspondence Address: Loo, B.P.Y.; Department of Geography, , Pokfulam, Hong Kong; email: bpyloo@hku.hk | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded"", ""taniabatistela""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Highway,Comparativo",,Event-based;Hot zone;Link-attribute;Network;Traffic crashes;Road segments;Road traffic crashes;Spatial analysis;Statistical threshold;Networks (circuits);Ecology;accident;cluster analysis;collision;network analysis;road transport;China;Hong Kong,,
rayyan-169523466,Detecting traffic accident clusters with network kernel density estimation and local spatial statistics: An integrated approach,2013,,,Journal of Transport Geography,09666923 (ISSN),31,,64-71,"Xie, Z. and Yan, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879292528&doi=10.1016%2fj.jtrangeo.2013.05.009&partnerID=40&md5=7f9dbbf7355a7f50ba03f1b7ffcee232,English,,"[""Department of Geosciences, Florida Atlantic University, 777 Glades Road, Boca Raton, FL 33431, United States"", ""Department of Geography and Geology, Western Kentucky University, Bowling Green, KY 42101, United States""]","Kernel density estimation (KDE) has long been used for detecting traffic accident hot spots and network kernel density estimation (NetKDE) has proven to be useful in accident analysis over a network space. Yet, both planar KDE and NetKDE are still used largely as a visualization tool, due to the missing of quantitative statistical inference assessment. This paper integrates NetKDE with local Moran'I for hot spot detection of traffic accidents. After density is computed for road segments through NetKDE, it is then used as the attribute for computing local Moran's I. With an NetKDE-based approach, conditional permutation, combined with a 100-m neighbor for Moran's I computation, leads to fewer statistically significant ""high-high"" (HH) segments and hot spot clusters. By conducting a statistical significance analysis of density values, it is now possible to evaluate formally the statistical significance of the extensiveness of locations with high density values in order to allocate limited resources for accident prevention and safety improvement effectively. © 2013.","Cited By :109
Export Date: 10 May 2021
Correspondence Address: Xie, Z.; Department of Geosciences, 777 Glades Road, Boca Raton, FL 33431, United States; email: xie@fau.edu | RAYYAN-INCLUSION: {""LUCAS""=>""Included"", ""Fagner ""=>""Included""} | RAYYAN-LABELS: RN,KDE,Cluster,Revisado,HOT-SPOTS | USER-NOTES: {""Fagner ""=>[""P 95\nCS 6.8""]}",,"Hot spots;Local Moran's I;Monte Carlo simulation;Network KDE;Traffic accidents;accident;computer simulation;estimation method;Monte Carlo analysis;network analysis;spatial analysis;traffic management;transportation safety;Accidents, Traffic",,
rayyan-169523467,"The potential modal shift and health benefits of implementing a public bicycle share program in Montreal, Canada",2013,,,International Journal of Behavioral Nutrition and Physical Activity,14795868 (ISSN),10,,,"Fuller, D. and Gauvin, L. and Kestens, Y. and Morency, P. and Drouin, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878005492&doi=10.1186%2f1479-5868-10-66&partnerID=40&md5=d27a140e982c1bcc6e6a34fb7056b8d8,English,,"[""Department of Community Health and Epidemiology, University of Saskatchewan, Health Sciences Building, 107 Wiggins Road, Saskatoon, SK S7N 5E5, Canada"", ""Centre de recherche du Centre Hospitalier de l'Université de Montréal, C.P. 6128, Succursale Centre-ville, Montréal, QC H3C 3J7, Canada"", ""Département de médecine sociale et préventive, Université de Montréal, C.P. 6128, Succursale Centre-ville, Montréal, QC H3C 3J7, Canada"", ""Direction de santé publique de Montréal, Université de Montréal, 1301, rue Sherbrooke Est, Montréal, QUE H2L 1M3, Canada"", ""Département de médecine sociale et préventive, Université de Montréal, 1301, rue Sherbrooke Est, Montréal, QUE H2L 1M3, Canada""]","Background: This study estimated the modal shift associated with the implementation of a public bicycle share program in Montreal, Canada. Methods: A population-based sample of adults participated in two cross sectional telephone surveys. Self-reported travel behaviors were collected at the end of the first (fall 2009) and second (fall 2010) season of implementation. The sample included 2502 (Mean age=47.8 years, 61.8% female), and 2509 (Mean age=48.9 years, 59.0% female) adult respondents in each survey. Results: The estimated modal shift associated with the implementation of the PBSP from motor vehicle use to walking, cycling, and public transportation was 6483 and 8023 trips in 2009 and 2010. This change represents 0.34% and 0.43% of all motor vehicle trips in Montreal. Conclusions: The implementation of a PBSP was associated with a shift toward active transportation. The modal shift was complex and not simply the result of a discrete shift from one mode to another. Promotion of active transportation should encourage integration of multiple active transportation modes to better reflect people's actual transportation behaviors. © 2013 Fuller et al.; licensee BioMed Central Ltd.","Cited By :42
Export Date: 10 May 2021
Correspondence Address: Fuller, D.; Department of Community Health and Epidemiology, Health Sciences Building, 107 Wiggins Road, Saskatoon, SK S7N 5E5, Canada; email: dlf545@mail.usask.ca | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: UnicoModal",,"Bicycle share program;Intervention;Life days gained;Modal integration;Modal shift, Transportation;Public transportation;adult;article;behavior;bicycle;Canada;clinical protocol;controlled study;cross-sectional study;cycling;female;health program;health promotion;health survey;human;human experiment;male;motor vehicle;normal human;public bicycle share program;self report;teleconsultation;traffic and transport;travel;walking;Adult;Bicycling;Cross-Sectional Studies;Data Collection;Female;Health Behavior;Health Promotion;Humans;Male;Middle Aged;Motor Vehicles;Quebec;Self Report;Transportation;Travel;Walking;Insurance Benefits",,
rayyan-169523468,A spatial autocorrelation-based approach for identifying hot spots on urban road,2013,,,Tongji Daxue Xuebao/Journal of Tongji University,0253374X (ISSN),41,5,664-669,"Jiang, H. and Fang, S. and Chen, Y. and Ma, Z.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879548771&doi=10.3969%2fj.issn.0253-374x.2013.05.005&partnerID=40&md5=0fe968c00506858a389c4370c31390c2,Chinese,,"Key Laboratory of Road and Traffic Engineering of the Ministry of Education, Tongji University, Shanghai 201804, China","An approach based on spatial autocorrelation analysis was presented to identify hot spots on urban road. The application of this methodology was illustrated by five-year's traffic crash data. Firstly, a non-parametric kernel density estimate sketched a model of two dimensional planar accident point spatial distribution. An estimation of the optimal bandwidth for accident distribution density was 115.2 m and subsequently was selected to create a spatial statistical unit on road segment. Then, the spatial statistical units were derived from a GIS-based region-arc topology model as a representation of the urban road network, and the attribute values of crash counts and severity indices were aggregated. Finally, the Globe Moran index was employed to examine spatial distribution clustered pattern of crash data. The local G-statistic was used to identify the clustering of low and high index values and to generate a crash hot spots map. Results of the research indicate that compared with the negative binomial model in modeling the crash frequency, the spatial analysis under integration of accident attribute data with position can not only identify hot spots on road segments (intersections) but also rank hot spots with spatial correlation according to the attribute values. Traffic management department can use the spatial analysis visualized results to locate hot spots and develop further traffic safety decision-making research.","Cited By :2
Export Date: 10 May 2021
CODEN: TTHPD
Correspondence Address: Fang, S.; Key Laboratory of Road and Traffic Engineering of the Ministry of Education, , Shanghai 201804, China; email: fangsek@tongji.edu.cn | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-LABELS: HOT-SPOTS | RAYYAN-EXCLUSION-REASONS: Mandarin,foreign language",,Hot spots identification;Kernel density estimation;Negative binomial model;Spatial autocorrelation;Traffic safety;Hot spot;Kernel Density Estimation;Negative binomial models;Spatial autocorrelations;Accident prevention;Accidents;Autocorrelation;Geographic information systems;Roads and streets;Spatial distribution;Topology;Spatial variables measurement,,
rayyan-169523469,Identification of hazardous road locations of traffic accidents by means of kernel density estimation and cluster significance evaluation,2013,,,Accident Analysis and Prevention,00014575 (ISSN),55,,265-273,"Bíl, M. and Andrášik, R. and Janoška, Z.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876125485&doi=10.1016%2fj.aap.2013.03.003&partnerID=40&md5=3438e42160555fd3f89b27a8ccaf5108,English,,"Transport Research Centre, Líšeňská 33a, Brno, 636 00, Czech Republic","This paper proposes a procedure which evaluates clusters of traffic accident and organizes them according to their significance. The standard kernel density estimation was extended by statistical significance testing of the resulting clusters of the traffic accidents. This allowed us to identify the most important clusters within each section. They represent places where the kernel density function exceeds the significance level corresponding to the 95th percentile level, which is estimated using the Monte Carlo simulations. To show only the most important clusters within a set of sections, we introduced the cluster strength and cluster stability evaluation procedures. The method was applied in the Southern Moravia Region of the Czech Republic. © 2013 Elsevier B.V. All rights reserved.","Cited By :105
Export Date: 10 May 2021
CODEN: AAPVB
Correspondence Address: Bíl, M.; Transport Research Centre, Líšeňská 33a, Brno, 636 00, Czech Republic; email: m.bil@seznam.cz | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded"", ""taniabatistela""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Highway",,"Clustering;Hazardous road locations;Kernel density estimation;Monte Carlo;Traffic accidents;Kernel Density Estimation;Kernel density function;MONTE CARLO;Monte Carlo simulations;Significance levels;Statistical significance;Monte Carlo methods;Roads and streets;Statistics;Highway accidents;cluster analysis;Czech Republic;environment;human;Monte Carlo method;statistics and numerical data;traffic accident;article;statistics;Accidents, Traffic;Cluster Analysis;Environment;Humans;Monte Carlo Method",,
rayyan-169523470,Still red light for red light cameras? An update,2013,,,Accident Analysis and Prevention,00014575 (ISSN),55,,77-89,"Høye, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876150079&doi=10.1016%2fj.aap.2013.02.017&partnerID=40&md5=fd787cbc17b74870f38c3618b219168d,English,,"Institute of Transport Economics-TØI, Gaustadalléen 21, NO 0349 Oslo, Norway","The present study has replicated the results from a previous meta-analysis by Erke (2009) [Erke, A., 2009. Red light for red-light cameras? A meta-analysis of the effects of red-light cameras on crashes. Accident Analysis & Prevention 41 (5), 897-905.] based on a larger sample of RLC-studies, and provides answers to the criticisms that were raised by Lund et al. (2009) [Lund, A.K., Kyrychenko, S.Y., Retting, R.A., 2009. Caution: a comment on Alena Erke's red light for red-light cameras? A meta-analysis of the effects of red-light cameras on crashes. Accident Analysis and Prevention 41, 895-896.] against the previous meta-analysis. The addition of recent studies to the meta-analysis and a more thorough investigation of potential moderator variables lead to a slight improvement of the estimated effects of RLC in the previous meta-analysis. The present study found a non-significant increase of all crashes by 6% and a non-significant decrease of all injury crashes by 13%. Right-angle collisions were found to decrease by 13% and rear-end collisions were found to increase by 39%. For right-angle injury collisions a decrease by 33% was found and for rear-end injury collisions a smaller increase was found (+19%). The effects of RLC are likely to be more favorable when RLC-warning signs are set up at main entrances to areas with RLC enforcement than when each RLC-intersection is signposted. The effects of RLC may become more favorable over time, this could however not be investigated empirically. Several results indicate that spillover effects may occur for right-angle collisions, but most likely not for rear-end and other crashes. If spillover effects do not occur for rear-end crashes, which increase at RLC intersection, this would be a positive result for RLC. However, the results seem to be affected to some degree by publication bias and the effects may therefore be somewhat less favorable than indicated by the results from meta-analysis. © 2013 Elsevier Ltd. All rights reserved.","Cited By :24
Export Date: 10 May 2021
CODEN: AAPVB
Correspondence Address: Høye, A.; Institute of Transport Economics-TØI, Gaustadalléen 21, NO 0349 Oslo, Norway; email: alh@toi.no | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Outros",,"Crash;Enforcement;Meta-analysis;Red-light camera;Red-light-running;Red-light cameras;Accident prevention;Cameras;accident prevention;article;car driving;classification;equipment;human;law enforcement;legal aspect;meta analysis;methodology;photography;traffic accident;devices;legislation and jurisprudence;prevention and control;procedures;Accident Prevention;Accidents, Traffic;Automobile Driving;Humans;Law Enforcement;Photography",,
